id,gene_count_1,gene_count_2,gene_count_3,gene_count_4,gene_count_5,gene_count_6,gene_count_7,gene_count_8,gene_count_9,gene_count_10,gene_count_11,gene_count_12,gene_count_13,gene_count_14,gene_count_15,gene_count_16,gene_count_17,gene_count_18,gene_count_19,gene_count_20,gene_count_21,gene_count_22,gene_count_23,gene_count_24,gene_count_25,gene_count_26,gene_count_27,gene_count_28,gene_count_29,gene_count_30,gene_count_31,gene_count_32,gene_count_33,gene_count_34,gene_count_35,gene_count_36,gene_count_37,gene_count_38,gene_count_39,gene_count_40,gene_count_41,gene_count_42,gene_count_43,gene_count_44,gene_count_45,gene_count_46,gene_count_47,gene_count_48,gene_count_49,gene_count_50,gene_count_51,gene_count_52,gene_count_53,gene_count_54,gene_count_55,gene_count_56,gene_count_57,gene_count_58,gene_count_59,gene_count_60,gene_count_61,gene_count_62,gene_count_63,gene_count_64,gene_count_65,gene_count_66,gene_count_67,gene_count_68,gene_count_69,gene_count_70,gene_count_71,gene_count_72,gene_count_73,gene_count_74,gene_count_75,gene_count_76,gene_count_77,gene_count_78,gene_count_79,gene_count_80,gene_count_81,gene_count_82,gene_count_83,gene_count_84,gene_count_85,gene_count_86,gene_count_87,gene_count_88,gene_count_89,gene_count_90,gene_count_91,gene_count_92,gene_count_93,gene_count_94,gene_count_95,gene_count_96,gene_count_97,gene_count_98,gene_count_99,gene_count_100,gene_count_101,gene_count_102,gene_count_103,gene_count_104,gene_count_105,gene_count_106,gene_count_107,gene_count_108,gene_count_109,gene_count_110,gene_count_111,gene_count_112,gene_count_113,gene_count_114,gene_count_115,gene_count_116,gene_count_117,gene_count_118,gene_count_119,gene_count_120,gene_count_121,gene_count_122,gene_count_123,gene_count_124,gene_count_125,gene_count_126,gene_count_127,gene_count_128,gene_count_129,gene_count_130,gene_count_131,gene_count_132,gene_count_133,gene_count_134,gene_count_135,gene_count_136,gene_count_137,gene_count_138,gene_count_139,gene_count_140,gene_count_141,gene_count_142,gene_count_143,gene_count_144,gene_count_145,gene_count_146,gene_count_147,gene_count_148,gene_count_149,gene_count_150,gene_count_151,gene_count_152,gene_count_153,gene_count_154,gene_count_155,gene_count_156,gene_count_157,gene_count_158,gene_count_159,gene_count_160,gene_count_161,gene_count_162,gene_count_163,gene_count_164,gene_count_165,gene_count_166,gene_count_167,gene_count_168,gene_count_169,gene_count_170,gene_count_171,gene_count_172,gene_count_173,gene_count_174,gene_count_175,gene_count_176,gene_count_177,gene_count_178,gene_count_179,gene_count_180,gene_count_181,gene_count_182,gene_count_183,gene_count_184,gene_count_185,gene_count_186,gene_count_187,gene_count_188,gene_count_189,gene_count_190,gene_count_191,gene_count_192,gene_count_193,gene_count_194,gene_count_195,gene_count_196,gene_count_197,gene_count_198,gene_count_199,gene_count_200,gene_count_201,gene_count_202,gene_count_203,gene_count_204,gene_count_205,gene_count_206,gene_count_207,gene_count_208,gene_count_209,gene_count_210,gene_count_211,gene_count_212,gene_count_213,gene_count_214,gene_count_215,gene_count_216,gene_count_217,gene_count_218,gene_count_219,gene_count_220,gene_count_221,gene_count_222,gene_count_223,gene_count_224,gene_count_225,gene_count_226,gene_count_227,gene_count_228,gene_count_229,gene_count_230,gene_count_231,gene_count_232,gene_count_233,gene_count_234,gene_count_235,gene_count_236,gene_count_237,gene_count_238,gene_count_239,gene_count_240,gene_count_241,gene_count_242,gene_count_243,gene_count_244,gene_count_245,gene_count_246,gene_count_247,gene_count_248,gene_count_249,gene_count_250,gene_count_251,gene_count_252,gene_count_253,gene_count_254,gene_count_255,gene_count_256,gene_count_257,gene_count_258,gene_count_259,gene_count_260,gene_count_261,gene_count_262,gene_count_263,gene_count_264,gene_count_265,gene_count_266,gene_count_267,gene_count_268,gene_count_269,gene_count_270,gene_count_271,gene_count_272,gene_count_273,gene_count_274,gene_count_275,gene_count_276,gene_count_277,gene_count_278,gene_count_279,gene_count_280,gene_count_281,gene_count_282,gene_count_283,gene_count_284,gene_count_285,gene_count_286,gene_count_287,gene_count_288,gene_count_289,gene_count_290,gene_count_291,gene_count_292,gene_count_293,gene_count_294,gene_count_295,gene_count_296,gene_count_297,gene_count_298,gene_count_299,gene_count_300
1,0,0,5,1,0,0,0,201,0,0,17,0,0,0,0,0,0,19,0,10,2,0,6,0,0,0,1,0,0,2,0,0,0,0,6,0,38,0,0,0,2,0,0,2,0,20,154,0,22,13,0,0,1,3,0,0,0,9,13,0,42,2,0,0,0,0,0,5,2,0,0,0,33,7,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,6,4,2,0,35,5,37,0,6,0,0,0,17,0,0,3,0,0,3,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,9,1,0,0,0,0,0,20,0,2,0,0,0,0,49,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,13,13,1,0,0,4,0,0,4,3,0,0,26,15,0,0,1,0,0,0,141,0,3,0,2,0,12,0,12,0,0,2,0,0,11,164,9,0,377,0,0,5,10,389,30,0,0,6,0,0,0,1,29,0,0,4,0,0,0,0,2,0,0,0,0,96,0,50,0,4,7,0,0,44,46,234,4,0,0,0,1,0,0,0,0,430,0,0,9,22,0,3,16,0,0,0,0,0,0,0,5,2,0,0,7,0,0,53,0
2,3,0,0,0,0,16,1,0,0,0,14,0,0,0,0,0,0,0,9,0,0,64,0,0,0,5,0,0,0,2,0,0,0,1,2,2,38,285,0,0,0,0,0,0,2,23,75,0,14,4,0,0,1,1,11,0,0,25,0,0,59,2,1,0,0,0,60,2,1,0,2,0,49,7,0,0,5,0,0,2,0,10,0,0,41,8,13,11,0,0,4,0,2,41,20,0,47,0,0,0,3,0,22,4,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,85,0,21,9,0,0,0,0,0,13,0,11,74,0,11,0,0,17,0,0,8,6,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,37,2,0,0,0,0,2,23,0,0,5,0,0,1,4,0,0,2,8,28,1,51,18,1,0,0,24,4,0,74,0,3,0,4,0,0,3,20,0,0,2,3,1,0,0,8,0,419,584,3,0,0,360,71,0,0,0,0,0,10,0,41,7,21,12,0,0,0,0,2,0,41,0,0,146,1,0,0,0,3,0,3,9,0,52,3,1,0,0,0,0,0,0,0,0,61,0,10,211,0,0,19,2,0,10,0,0,1,5,2,3,0,0,7,0,0,20,6
3,0,0,0,0,0,0,0,302,0,0,25,0,0,0,0,0,0,6,0,6,5,0,14,0,0,0,4,0,0,16,5,0,0,0,0,0,55,0,0,0,3,0,0,0,0,0,129,0,19,12,0,2,0,0,0,0,0,9,0,0,48,3,2,0,38,1,0,0,3,6,0,0,39,0,0,1,0,8,0,0,0,0,0,0,0,0,17,4,0,0,3,5,0,0,38,7,0,0,3,17,5,0,11,10,0,9,0,0,1,5,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,2,11,0,0,0,3,0,0,3,6,3,0,0,0,3,127,3,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,0,0,2,3,0,1,1,0,0,17,7,0,0,0,0,0,0,117,4,4,2,6,0,7,0,22,0,0,0,2,0,7,25,6,0,208,762,0,1,3,261,73,6,0,1,2,0,0,0,16,0,15,0,0,0,0,0,1,0,0,0,0,66,0,64,0,0,2,0,2,17,53,116,4,0,0,0,0,0,0,0,0,202,0,0,10,80,0,4,21,0,0,7,0,0,0,10,8,7,0,0,3,0,0,16,0
4,0,0,1,0,0,25,0,186,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,2,0,0,8,2,2,0,0,0,0,16,208,0,0,3,0,0,0,0,0,156,0,6,6,0,0,0,0,0,0,0,6,2,0,85,0,1,0,0,1,0,11,0,0,0,0,43,0,0,0,14,12,0,1,0,15,0,0,0,0,8,0,0,0,4,15,2,0,17,12,15,0,0,16,4,0,0,40,11,11,0,1,0,2,31,0,0,0,0,0,0,6,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,1,0,0,2,5,0,0,0,0,3,20,2,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,9,21,0,0,0,0,6,0,0,0,3,0,2,22,20,0,1283,3,0,0,0,82,0,9,0,13,0,0,0,19,0,0,1,0,0,0,91,11,0,297,0,0,3,0,313,0,0,0,2,0,0,0,0,17,2,0,16,0,0,0,0,3,0,0,0,2,116,2,42,0,2,3,0,1,15,45,177,8,1,0,0,0,0,0,27,0,228,0,0,19,87,0,2,0,0,0,9,0,0,0,15,5,4,0,0,0,0,2,25,0
5,0,0,3,0,1,14,1,0,10,0,1,57,0,0,0,0,0,16,0,13,0,0,6,0,0,10,0,0,0,7,0,0,0,0,3,0,0,508,0,81,5,0,12,3,0,0,143,0,10,9,0,0,2,0,3,0,0,8,4,0,59,0,7,1,0,1,30,0,6,4,1,0,41,6,0,0,11,0,0,4,0,0,6,271,95,0,16,2,0,0,1,0,0,0,31,12,48,0,4,0,0,0,32,0,30,8,0,0,4,4,19,0,0,0,0,0,0,5,0,2,10,0,0,0,0,0,0,0,2,0,0,12,0,0,0,1,0,0,0,20,3,0,0,5,0,59,13,0,0,0,0,0,0,0,20,0,26,0,3,4,1,0,0,0,0,0,9,2,2,0,0,8,3,0,1,5,0,0,2,0,6,0,0,2,0,0,5,7,0,0,0,0,8,0,0,0,3,0,2,1,0,0,0,48,9,0,1102,0,8,0,0,102,3,0,0,2,0,0,0,29,0,36,1,1,0,4,61,21,0,231,860,0,12,8,141,68,1,9,0,0,0,6,0,0,0,0,0,0,0,0,36,2,0,0,0,0,93,0,41,0,7,2,0,0,6,25,341,2,1,0,0,0,4,0,0,0,220,0,0,7,229,0,1,19,0,0,0,0,0,0,11,1,1,0,0,3,0,0,49,10
6,5,0,0,1,0,14,0,107,0,7,0,31,0,0,0,0,0,0,33,0,0,29,0,1,0,8,5,0,2,0,0,0,4,0,3,0,47,504,0,44,0,0,0,4,0,0,0,0,0,6,4,0,0,0,5,5,0,0,7,2,33,0,6,0,43,0,13,6,0,3,2,4,0,0,0,0,15,0,0,3,0,5,12,229,11,14,0,0,0,0,0,4,2,0,0,13,0,0,0,0,6,0,0,31,37,7,0,1,0,5,29,0,0,0,2,0,0,0,0,1,12,2,9,2,0,6,1,0,0,12,5,14,7,5,9,6,13,17,2,0,0,0,31,2,0,0,0,23,0,84,0,17,0,1,10,188,0,135,3,4,0,0,16,0,0,1,5,4,0,0,9,0,3,0,8,1,0,1,0,0,1,0,29,1,0,0,0,0,1,0,0,12,0,0,7,1,0,0,0,0,1,0,4,45,10,2,783,0,0,0,0,0,7,1,1,2,0,0,10,25,48,0,0,0,0,0,0,15,7,0,0,1,0,8,0,0,1,0,0,0,20,0,0,24,0,0,0,1,0,0,18,0,0,37,0,2,0,2,0,264,0,3,0,3,0,63,0,0,0,0,118,0,34,1,0,0,0,39,0,5,0,0,0,0,0,5,11,1,0,2,8,0,0,7,0,0,0,0,35,1
7,0,0,0,2,2,0,0,271,0,0,2,0,0,0,0,0,0,6,0,2,3,0,3,0,0,0,3,0,0,2,0,0,0,0,8,0,17,495,0,0,7,1,0,2,0,0,130,0,19,5,0,0,2,1,0,0,0,17,18,0,51,5,0,0,0,0,0,8,4,3,0,0,62,0,0,2,9,9,0,0,0,15,0,0,0,0,13,4,0,0,1,3,4,0,12,5,25,0,5,0,0,0,35,15,0,6,0,8,1,6,26,0,0,0,0,0,0,5,0,1,0,0,0,2,0,11,0,0,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,9,0,0,0,1,0,0,12,2,0,0,0,0,5,43,4,6,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,15,9,0,0,0,4,0,0,1,5,0,0,28,6,0,0,0,0,0,0,110,0,3,0,1,0,14,0,21,0,0,1,2,0,6,76,9,0,233,0,0,6,5,258,112,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,3,0,0,0,3,172,0,48,0,4,3,0,1,24,36,108,7,0,0,0,0,0,0,0,0,197,0,0,4,153,0,0,28,0,0,10,0,0,0,15,3,8,0,0,0,0,0,24,0
8,2,1,0,1,0,18,0,0,0,10,44,42,0,4,1,3,0,0,37,0,3,48,0,1,0,8,0,1,0,0,1,0,5,0,0,0,47,636,0,127,0,0,0,0,1,0,0,0,0,0,4,0,0,0,6,1,0,0,10,3,0,0,4,0,134,0,60,9,0,0,0,0,0,1,430,0,0,1,18,3,5,15,3,208,131,5,0,0,0,10,4,9,3,116,0,4,0,6,0,9,2,1,0,17,13,4,0,0,0,0,27,0,0,0,0,5,0,0,22,0,3,0,12,0,0,0,3,0,0,47,0,28,7,0,25,4,17,5,2,19,3,4,157,3,11,0,13,19,8,145,0,10,23,0,20,61,25,93,0,0,0,0,0,3,0,0,0,3,0,0,15,6,0,0,0,0,0,0,5,66,0,2,19,0,0,0,0,0,0,9,10,11,0,2,6,4,0,3,0,0,2,26,2,0,0,5,1030,3,0,2,0,0,13,0,3,0,62,0,9,0,109,0,0,0,0,7,0,1,0,195,0,1,1,0,0,51,3,0,6,1,24,0,0,5,14,16,0,2,31,9,38,0,0,26,0,0,0,0,0,307,1,0,16,0,6,0,0,0,2,0,68,0,22,8,34,1,0,51,0,0,0,0,0,0,14,10,0,0,4,0,5,0,0,9,0,0,35,2,0,6
9,0,0,0,0,2,0,1,292,0,0,2,0,0,0,0,0,0,7,0,5,4,0,6,0,0,0,2,0,0,7,0,0,0,0,3,0,0,354,0,0,4,1,0,4,0,38,134,0,15,2,0,0,4,0,9,0,0,9,8,0,20,2,0,0,82,1,0,0,7,0,0,5,41,0,0,1,0,8,0,0,0,0,5,0,0,0,25,1,0,0,1,3,1,52,32,0,43,0,8,0,0,0,7,14,0,14,0,4,2,5,0,0,0,0,0,0,0,9,0,5,0,0,0,1,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,103,1,17,0,0,0,1,9,0,6,0,0,0,0,0,2,66,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,14,0,0,0,1,0,2,0,0,0,0,94,23,0,0,0,16,0,0,65,5,0,1,0,0,0,0,28,0,21,1,0,0,0,27,0,0,362,0,0,6,7,277,0,0,0,0,0,0,0,0,21,0,0,7,0,0,4,0,3,0,0,0,0,26,0,66,0,1,1,0,1,16,45,182,3,0,0,112,0,0,0,0,0,248,0,0,10,130,0,4,9,0,0,11,0,0,0,0,0,6,0,0,3,0,0,39,0
10,0,2,2,3,0,0,0,0,6,11,0,43,0,11,1,2,1,0,17,0,0,39,0,1,1,4,0,0,2,0,0,0,0,0,0,1,34,376,0,35,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,6,3,0,2,4,0,0,0,0,79,2,39,10,0,0,1,4,0,0,276,0,24,4,13,5,8,7,2,231,15,5,0,0,0,9,0,0,0,57,0,0,0,1,0,19,3,0,0,16,21,3,0,1,0,0,23,0,0,0,1,8,37,0,26,0,7,0,4,0,0,0,2,0,0,7,0,15,6,0,5,9,5,26,2,12,1,8,50,1,48,0,22,59,4,238,0,36,30,0,13,129,0,69,0,0,0,0,18,1,0,5,0,2,0,0,6,14,0,0,0,0,0,0,12,73,0,1,17,0,5,0,0,0,3,11,11,17,0,0,13,0,0,1,0,0,3,15,7,29,0,0,1477,2,0,1,6,0,4,5,0,4,17,0,20,0,57,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,1,1,0,1,17,0,0,31,11,17,0,1,33,6,30,0,0,27,0,0,0,3,0,237,0,4,11,0,0,0,0,0,0,0,106,0,8,8,22,0,0,67,0,0,0,0,0,0,15,0,0,0,4,1,1,0,0,11,0,0,49,1,0,3
